bhk,sqft,price_of_property,per_sqrt,furnishing,bathroom,car_parking,builders_name
3 BHK House for Sale in Srinagar Bangalore West,437 sqft,1.60 Cr,N/A,Furnished,3,N/A,Owner: Lallu Dorai
3 BHK House for Sale in Whitefield Bangalore West,1500 sqft,60 Lac,₹4000 per sqft,Semi-Furnished,3,N/A,Owner: Ananya shetty
"2 BHK Flat for Sale in Baldota Serenity, Rayasandra, Bangalore West",1190 sqft,70 Lac,₹5882 per sqft,Semi-Furnished,2,N/A,Owner: Anil
"Studio Apartment for Sale in Nallurahalli Main Road, Bangalore West",1263 sqft,5.40 Cr,₹7714 per sqft,Furnished,> 10,N/A,Owner: EmeraldGardenia
"3 BHK Flat for Sale in Bhartiya City Nikoo Homes Phase 2, Thanisandra Main Road, Bangalore West",1509 sqft,2.25 Cr,₹14911 per sqft,Semi-Furnished,3,N/A,Owner: Megha Agarwal
3 BHK House for Sale in Aishwarya paradise Bangalore West,400 sqft,49 Lac,N/A,Semi-Furnished,3,N/A,Owner: Abhishek Kumar
4 BHK House for Sale in Sunkadakatte Bangalore West,830 sqft,95 Lac,₹7917 per sqft,Semi-Furnished,2,N/A,Owner: Raveesh
"2 BHK Flat for Sale in Electronic City, Bangalore West",950 sqft,60 Lac,₹5581 per sqft,Semi-Furnished,2,1 Covered,Owner: Nagesh s
"2 BHK Flat for Sale in Sowparnika Flamenco, Sarjapura, Bangalore West",745 sqft,55 Lac,₹7383 per sqft,Semi-Furnished,2,N/A,Owner: Divya
"2 BHK Flat for Sale in Mahaveer Tranquil, Itpl, Whitefield, Bangalore West",1104 sqft,1.25 Cr,N/A,Semi-Furnished,2,N/A,Owner: Dinesh Kumar
